Y_Pixel,X_Pixel,Resolution_Type,Brand,Display size (cm),Display size (inch),model_name,launch_year,smart_tv,os,usb_count,hdmi_count,screen_type,Price
1080,1920,Full HD,SAMSUNG,108.0,43,UA43N5370AUXXL,2022,Yes,Tizen,3,4,LED,46500
1080,1920,Full HD,LG,81.28,32,32LQ645BPTA,2022,Yes,WebOS,2,3,LED,17399
2160,3840,Ultra HD (4K),SAMSUNG,125.0,50,QA50QN90CAKLXL,2023,Yes,Tizen,2,4,QLED,141990
2160,3840,Ultra HD (4K),Hisense,164.0,65,65U6G,2021,Yes,Android,2,3,QLED,75900
1080,1920,Full HD,Panasonic,108.0,43,TH-43MS550DX,2023,Yes,Android,1,2,LED,24999
720,1280,HD Ready,ZEBRONICS,80.0,32,Zeb-32P2,2023,Yes,Android Based,2,2,LED,11999
2160,3840,Ultra HD (4K),LG,122.0,48,48C1,2021,Yes,WebOS,3,4,OLED,94990
2160,3840,Ultra HD (4K),Vu,139.0,55,55 QMP,2022,Yes,Android,2,4,QLED,71480
720,1280,HD Ready,LG,80.0,32,32LK526BPTA,2018,No,Linux,1,2,LED,19900
720,1280,HD Ready,iMEE,80.0,32,ELITE-32SFL-Silver,2021,Yes,Android,2,2,LED,12699
2160,3840,Ultra HD (4K),SAMSUNG,125.0,50,UA50BU8000KLXL,2021,Yes,Tizen,2,3,LED,77990
2160,3840,Ultra HD (4K),LG,126.0,50,50UQ8040PSB,2022,Yes,WebOS,2,3,LED,47990
2160,3840,Ultra HD (4K),LG,164.0,65,65UN7300PTC,2020,Yes,WebOS,2,3,LED,111990
2160,3840,Ultra HD (4K),SONY,163.9,65,KD-65X75K,2022,Yes,Google TV,2,3,LED,84540
1080,1920,Full HD,cenit,80.0,32,CG32SFL,2022,Yes,Android,2,2,LED,19999
2160,3840,Ultra HD (4K),SONY,164.0,65,KD-65A80K,2022,Yes,Android,2,4,OLED,239990
720,1280,HD Ready,Krisa,110.0,43,KR434001S,2022,Yes,Android,2,2,LED,17790
480,720,SD,Wybor,60.0,32,32WHN-53,2023,No,Linux,2,2,LED,9500
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,QA55Q60CAKLXL,2023,Yes,Tizen,2,3,QLED,70999
2160,3840,Ultra HD (4K),BPL,165.0,65,65U-A4310,2021,Yes,Android,2,3,LED,56990
1080,1920,Full HD,Samtonic,110.0,43,ST-4301SF,2023,Yes,Android,2,2,LED,17499
2160,3840,Ultra HD (4K),LG,123.0,49,49UK6360PTE,2018,Yes,WebOS,2,3,LED,68900
2160,3840,Ultra HD (4K),Panwood,124.0,50,PNWDL50MR,2023,Yes,Android,3,3,LED,26837
2160,3840,Ultra HD (4K),LG,139.0,55,55UQ7550PSF,2022,Yes,WebOS,1,3,LED,49990
4320,7680,Ultra HD (8K),SAMSUNG,189.0,75,QA75QN800CKXXL,2023,Yes,Tizen,3,4,QLED,734990
2160,3840,Ultra HD (4K),LG,106.0,42,OLED42C2PSA,2022,Yes,WebOS,2,2,OLED,87990
2160,3840,Ultra HD (4K),iMEE,140.0,55,SIGNATURE-55SFLVC,2022,Yes,Android,2,3,LED,42899
2160,3840,Ultra HD (4K),LG,164.0,65,65UQ7500PSF,2022,Yes,WebOS,1,3,LED,69990
720,1280,HD Ready,Hyundai,60.0,24,ATHY24K4HDV531W,2021,No,Android,2,2,LED,12000
2160,3840,Ultra HD (4K),LG,108.0,43,43UQ7350PTA,2023,Yes,WebOS,2,3,LED,34990
2160,3840,Ultra HD (4K),LG,139.0,55,OLED55C2PSC,2022,Yes,WebOS,3,4,OLED,119990
720,1280,HD Ready,VG,80.0,32,VG32HB501E,2022,No,Android,2,2,LED,7690
720,1280,HD Ready,TCL,79.97,32,32D311,2021,No,Android,1,2,LED,13989
2160,3840,Ultra HD (4K),LG,189.0,75,75QNED80SRA,2023,Yes,WebOS,2,4,QNED,315990
720,1280,HD Ready,REDMI,80.0,32,L32R8-FVIN,2023,Yes,Android,2,2,LED,15199
1080,1920,Full HD,SONY,108.0,43,43W880K,2022,Yes,Google TV,2,3,LED,43500
2160,3840,Ultra HD (4K),smart,127.0,50,50INSMART-06,2022,Yes,Not Specified,2,2,LED,27898
2160,3840,Ultra HD (4K),smart,127.0,50,50INSMART-09,2022,Yes,Not Specified,2,2,LED,27399
2160,3840,Ultra HD (4K),Acer,139.0,55,AR55AR2851UDFL,2022,Yes,Android,2,3,LED,46990
720,1280,HD Ready,Aiwa,80.0,32,A32HDX1,2022,Yes,Android,2,2,LED,11989
2160,3840,Ultra HD (4K),Sansui,178.0,70,JSW70ASUHDFF,2020,Yes,Google TV,2,3,LED,64990
720,1280,HD Ready,iMEE,80.0,32,ELITE-32SFL-White,2021,Yes,Android,2,2,LED,12999
720,1280,HD Ready,VG,80.0,32,VG32HC441E,2022,Yes,Android Based,2,2,LED,10490
2160,3840,Ultra HD (4K),SAMSUNG,139.0,55,UA55AU7600KXXL,2022,Yes,Tizen,1,3,LED,47990
720,1280,HD Ready,SAMSUNG,80.0,32,UA32T4050ARXXL,2019,No,Linux,1,2,LED,13990
